"col","row","fertility_index"
0,0,0.609192238888124
1,0,0.543869547268474
2,0,0.719925691482042
3,0,0.646580432090271
4,0,0.825443786982249
5,0,0.758621164166781
6,0,0.667538186321728
7,0,0.684216320352277
8,0,0.602215494702078
9,0,0.559089032613183
10,0,0.468405119031237
11,0,0.598389982110912
12,0,0.501376083665887
13,0,0.590367414338792
0,1,0.632833356268061
1,1,0.643842025595156
2,1,0.863451217834044
3,1,0.939342232007706
4,1,0.906357506536397
5,1,0.8019402779689
6,1,0.767070317875327
7,1,0.740842163203523
8,1,0.854355304802532
9,1,0.569877528553736
10,1,0.62968212467318
11,1,0.508779413788358
12,1,0.524397963396174
13,1,0.579799091784781
0,2,0.795816705655704
1,2,0.605408008806935
2,2,0.796243291592129
3,2,0.894757121232971
4,2,0.906357506536397
5,2,0.895596532269162
6,2,0.760726572175588
7,2,0.735131415990092
8,2,0.791991193064538
9,2,0.434195679097289
10,2,0.609618824824549
11,2,0.519333975505711
12,2,0.502642080638503
13,2,0.423159488096876
0,3,0.472836108435393
1,3,0.576826751066465
2,3,0.863024631897619
3,3,0.869767441860465
4,3,0.941034814916747
5,3,0.875313059033989
6,3,0.7873537911105
7,3,0.773427824411724
8,3,0.672368239988991
9,3,0.62249896793725
10,3,0.473689280308243
11,3,0.553378285399752
12,3,0.374556213017751
13,3,0.562033851658181
0,4,0.646566671253612
1,4,0.578959680748589
2,4,0.768336314847943
3,4,0.703880555937801
4,4,0.831732489335351
5,4,0.83892940690794
6,4,0.726283198018439
7,4,0.629861015549745
8,4,0.571982936562543
9,4,0.512591165542865
10,4,0.414077335902023
11,4,0.470730700426586
12,4,0.374542452181093
13,4,0.537319389018852
0,5,0.507719829365625
1,5,0.628608779413788
2,5,0.737897344158525
3,5,0.609811476537773
4,5,0.593766340993532
5,5,0.628388606027246
6,5,0.638956928581258
7,5,0.475574514930508
8,5,0.408806935461676
9,5,0.511737993670015
10,5,0.514462639328471
11,5,0.327659281684326
12,5,0.381299022980597
13,5,0.356790972891152
0,6,0.45255263520022
1,6,0.59416540525664
2,6,0.494206687766616
3,6,0.577886335489198
4,6,0.667290491261869
5,6,0.549139947708821
6,6,0.462914545204348
7,6,0.42785193339755
8,6,0.316857024907114
9,6,0.269313334250722
10,6,0.50158249621577
11,6,0.307128113389294
12,6,0.295307554699326
13,6,0.248795926792349
0,7,0.533535158937663
1,7,0.387849181230219
2,7,0.38808311545342
3,7,0.567290491261869
4,7,0.543250309618825
5,7,0.46629971102243
6,7,0.469450942617311
7,7,0.444062198981698
8,7,0.457396449704142
9,7,0.278808311545342
10,7,0.242011834319526
11,7,0.180074308517958
12,7,0.23820008256502
13,7,0.320228429888537
0,8,0.460382551259116
1,8,0.428044585110775
2,8,0.504541076097427
3,8,0.347915233246181
4,8,0.574280996284574
5,8,0.430342644832806
6,8,0.385344708958305
7,8,0.398445025457548
8,8,0.275629558277143
9,8,0.220242190725196
10,8,0.330796752442548
11,8,0.140374294757121
12,8,0.0883720930232558
13,8,0.153846153846154
0,9,0.486156598321178
1,9,0.536466217146002
2,9,0.575147928994083
3,9,0.452965460299986
4,9,0.50389431677446
5,9,0.399711022430164
6,9,0.487642768680336
7,9,0.299724783266823
8,9,0.278601898995459
9,9,0.292734278244117
10,9,0.300990780239438
11,9,0.0511627906976744
12,9,0.208008806935462
13,9,0.29062887023531
