col,row,ndvi
0,0,0.5421616072737938
1,0,0.477667493796526
2,0,0.505748888548214
3,0,0.5364297373497552
4,0,0.5311246471549547
5,0,0.5426243817282513
6,0,0.5568488289567068
7,0,0.5360166344868558
8,0,0.5883495145631068
9,0,0.6158743058377353
10,0,0.5805521219612692
11,0,0.6016724738675957
12,0,0.593952483801296
13,0,0.5465414175918019
0,1,0.4872487248724872
1,1,0.47019273868220524
2,1,0.5535946766960799
3,1,0.514761765565624
4,1,0.5353139013452914
5,1,0.5053160070880095
6,1,0.6044135676338374
7,1,0.5810644411000137
8,1,0.5648363686156374
9,1,0.6571502389872108
10,1,0.6136778908901069
11,1,0.5756587883727248
12,1,0.6010921501706484
13,1,0.5488385110551357
0,2,0.5290575127973502
1,2,0.4974390811733665
2,2,0.5019192384461845
3,2,0.5294117647058824
4,2,0.5149374540103018
5,2,0.5545353366722314
6,2,0.5459221160911095
7,2,0.5858167770419426
8,2,0.6036152356358941
9,2,0.6412019353195824
10,2,0.6688809402146143
11,2,0.619195849546044
12,2,0.6374692715745892
13,2,0.5932705248990578
0,3,0.5032306536438768
1,3,0.4637078132223763
2,3,0.47336002463812754
3,3,0.49764816556914393
4,3,0.5395013517572844
5,3,0.5869914346895075
6,3,0.5887008733624455
7,3,0.5804403620153992
8,3,0.6455792682926829
9,3,0.6484817292846116
10,3,0.6278532957168504
11,3,0.642284963887065
12,3,0.6453280318091451
13,3,0.569472685373458
0,4,0.49189359357783724
1,4,0.480116689697528
2,4,0.47217563652995875
3,4,0.5115138909523103
4,4,0.534380557202134
5,4,0.48209951456310673
6,4,0.5727509401214925
7,4,0.6312265666845207
8,4,0.607752778530767
9,4,0.6048237476808905
10,4,0.6155762422971024
11,4,0.6097051917558048
12,4,0.6257325172548508
13,4,0.5780225909914936
0,5,0.544734188157326
1,5,0.48388077858880785
2,5,0.45226524533625956
3,5,0.47403419886003795
4,5,0.5028299076556448
5,5,0.5148425787106446
6,5,0.5436936270885702
7,5,0.5874880480808632
8,5,0.595040196212018
9,5,0.5711911357340721
10,5,0.6251135036969776
11,5,0.6107348242811502
12,5,0.6060932866001617
13,5,0.5731809311402286
0,6,0.4776143015345674
1,6,0.43168155970755484
2,6,0.41729991915925624
3,6,0.4684301684774051
4,6,0.47528753497046944
5,6,0.47114636801990967
6,6,0.5370825502385427
7,6,0.5590528443546058
8,6,0.562059919922684
9,6,0.5913055145578962
10,6,0.5723756906077349
11,6,0.5643865965106618
12,6,0.5917708753529649
13,6,0.5893173456874234
0,7,0.4694968553459119
1,7,0.43445633083186974
2,7,0.40843214756258234
3,7,0.4405059078049593
4,7,0.41989126958746403
5,7,0.42450049132001305
6,7,0.4784904488274577
7,7,0.5215602620752705
8,7,0.5569375345494748
9,7,0.5649701450099516
10,7,0.5914592683258534
11,7,0.5654684567633897
12,7,0.5506003430531732
13,7,0.5573469099137321
0,8,0.49023227195816027
1,8,0.4537458771792052
2,8,0.38023335621139326
3,8,0.41992031872509966
4,8,0.4382896015549077
5,8,0.46801773274224184
6,8,0.49119373776908026
7,8,0.5459018698158302
8,8,0.5065770242619118
9,8,0.5162412993039444
10,8,0.559071418009759
11,8,0.5373155708351239
12,8,0.5164677117790881
13,8,0.5305039787798408
0,9,0.5085936332386789
1,9,0.46372732958098806
2,9,0.4806800618238021
3,9,0.43820582153650384
4,9,0.4478837650031585
5,9,0.4594266646443198
6,9,0.46914728682170537
7,9,0.5078951402728806
8,9,0.48769068116598696
9,9,0.48147036759189793
10,9,0.5271593944790739
11,9,0.49616916947594236
12,9,0.5125659323611543
13,9,0.49346305868044993
